,record_id,Antigen,BCR_id,Score
0,record_0,H4Hubei,BCR_6,-3.970858573913574
1,record_1,H4Hubei,BCR_7,-3.9707560539245605
2,record_2,ova,BCR_11,-4.159663677215576
3,record_3,ova,BCR_12,-4.1614460945129395
